"GS_ID","TUBENAME","HOUSEKEEPING"
"Hq1","HIF1",0
"Hq1","IFNG",0
"Hq1","IFNGRA",0
"Hq1","IGF1L",0
"Hq1","IGFR1R",0
"Hq1","IL10",0
"Hq1","IL11",0
"Hq1","IL12A",0
"Hq1","IL12B",0
"Hq1","IL12R",0
"Hq1","IL17",0
"Hq1","IL18",0
"Hq1","IL8",0
"Hq1","RANTES",0
"Hq1","STAT1a",0
"Hq1","STAT4",0
"Hq1","STAT5",0
"Hq1","STAT6",0
"Hu-Sputum","cox2",0
"Hu-Sputum","EGF",0
"Hu-Sputum","EGFR",0
"Hu-Sputum","IFNG",0
"Hu-Sputum","IFNGR",0
"Hu-Sputum","IGF1",0
"Hu-Sputum","IGFR1R",0
"Hu-Sputum","IL10",0
"Hu-Sputum","IL12A",0
"Hu-Sputum","IL12B",0
"Hu-Sputum","IL12R",0
"Hu-Sputum","IL17",0
"Hu-Sputum","IL18",0
"Hu-Sputum","IL8",0
"Hu-Sputum","RANTES",0
"Hu-Sputum","STAT1a",0
"Hu-Sputum","STAT4",0
"Biopsy_Cytokines_Interim","EEF1A1",0
"Biopsy_Cytokines_Interim","GAPDH",0
"Biopsy_Cytokines_Interim","IFNG",0
"Biopsy_Cytokines_Interim","IFNGRA",0
"Biopsy_Cytokines_Interim","IL10",0
"Biopsy_Cytokines_Interim","IL10ra",0
"Biopsy_Cytokines_Interim","IL12A",0
"Biopsy_Cytokines_Interim","IL12R",0
"Biopsy_Cytokines_Interim","IL13ra1",0
"Biopsy_Cytokines_Interim","IL13ra2",0
"Biopsy_Cytokines_Interim","IL17",0
"Biopsy_Cytokines_Interim","IL18",0
"Biopsy_Cytokines_Interim","IL4",0
"Biopsy_Cytokines_Interim","IL5",0
"Biopsy_Cytokines_Interim","IL8",0
"Biopsy_Cytokines_Interim","IL9 (b)",0
"Biopsy_Cytokines_Interim","MIP3A",0
"Biopsy_Cytokines_Interim","PPIA",0
"Biopsy_Cytokines_Interim","Ubiquitin",0
"MusPanel","M-GAPDH",0
